equipment_id,equipment_model,casing_temperature_c,vibration_mm_s,discharge_pressure_bar,flow_lpm,motor_current_a,hours_since_maintenance,failure_within_7_days
PX200-0132,PX-200,71.1,5.17,4.95,169,14.6,810,0
PX200-0133,PX-200,67.8,3.14,4.85,191.4,13.2,1262,0
PX200-0134,PX-200,59.4,3.27,5.84,197.6,11.4,1218,0
PX200-0135,PX-200,51.6,2.6,5.1,204.9,13.4,1030,0
PX200-0136,PX-200,57.8,1.89,5.05,181.9,11.2,1029,0
PX200-0137,PX-200,53.2,1.36,5.56,181.7,12.8,718,0
PX200-0138,PX-200,72.3,4.02,4.99,150.4,13.1,1646,0
PX200-0139,PX-200,70.4,1.23,5.75,166,13.5,1499,0
PX200-0140,PX-200,86.5,7.93,4.62,153.5,14,1468,0
PX200-0141,PX-200,90.9,8.3,3.26,90,19.5,1733,1
PX200-0142,PX-200,54,2.71,4.64,181.5,10.8,1205,0
PX200-0143,PX-200,66,5.06,4.55,156.2,13.6,782,0
PX200-0144,PX-200,76.5,4.77,4.68,188.3,13.2,771,0
PX200-0145,PX-200,63.4,2.12,5.73,175.2,11.2,469,0
PX200-0146,PX-200,72,5.1,4.3,164.8,12.4,140,0
PX200-0147,PX-200,72.9,2.2,5.22,185.6,11.6,965,0
PX200-0148,PX-200,72.5,1.72,5.66,189.5,11.9,118,0
PX200-0149,PX-200,62.2,2.72,4.51,179.3,8.9,59,0
PX200-0150,PX-200,59,2.45,5.62,161.6,12.3,50,0
PX200-0151,PX-200,75.3,5.63,4.57,115.9,12.1,1404,0
PX200-0152,PX-200,53.6,2.94,4.79,203,9.1,1616,0
PX200-0153,PX-200,72.7,6.21,4.9,162.4,13.1,912,1
PX200-0154,PX-200,74.5,4.38,4.89,143.1,13.3,682,0
PX200-0155,PX-200,63.2,1.58,5.16,196.7,10.2,795,0
PX200-0156,PX-200,67.7,4.92,4.57,164.8,12.2,1777,0
PX200-0157,PX-200,60,2.24,5.16,170.8,11.6,580,1
PX200-0158,PX-200,58.7,3.33,5.1,230,11.8,1100,0
PX200-0159,PX-200,70.2,3.36,5.33,193.5,9.6,1026,0
PX200-0160,PX-200,61.6,4.96,4.93,169.6,11.9,481,0
PX200-0161,PX-200,80.1,4.68,4.84,154.3,13.5,986,1
PX200-0162,PX-200,64.6,1.94,5.13,195.9,11.4,931,0
PX200-0163,PX-200,71.5,4.69,5.27,174.7,14.2,1754,0
PX200-0164,PX-200,71,3.94,5.32,156.9,13.8,1718,0
PX200-0165,PX-200,60.5,2.7,5.25,168.5,8.8,157,0
PX200-0166,PX-200,61.3,3.34,4.87,192.8,8.2,617,0
PX200-0167,PX-200,67,1.01,5.06,175.4,11.4,1013,0
PX200-0168,PX-200,93.5,7.02,3.75,115,14.4,1480,1
PX200-0169,PX-200,68.4,2.84,5.42,202,10.3,148,0
PX200-0170,PX-200,73.9,2.66,4.58,159,12.1,1224,0
PX200-0171,PX-200,70.5,2.26,5.97,190.3,13.6,970,0
PX200-0172,PX-200,81.4,4.36,4.48,174.5,10.7,1718,0
PX200-0173,PX-200,57.4,2.61,5.61,215.4,11.4,1967,0
PX200-0174,PX-200,64.2,2.08,5,191.6,10.6,453,0
PX200-0175,PX-200,65,5.01,4.81,143.2,14.2,1477,0
PX200-0176,PX-200,64.9,5.02,4.51,164.8,13,1233,0
PX200-0177,PX-200,62.8,1.97,5.32,189.4,8.7,892,0
PX200-0178,PX-200,96.4,8.38,3.9,141.4,14.5,1208,1
PX200-0179,PX-200,91.1,8.27,4.06,163.2,14.5,1453,1
PX200-0180,PX-200,82.5,5.97,3.87,162.1,18.6,1849,1
PX200-0181,PX-200,60.3,3.4,4.55,181.7,12,754,0
PX200-0182,PX-200,63.6,3.24,5.39,192.4,10.6,50,0
PX200-0183,PX-200,60.2,3.59,5.71,183.2,15.4,1630,0
PX200-0184,PX-200,57.2,1.59,6.16,202.7,13.9,1032,0
PX200-0185,PX-200,85.6,5.68,3.64,114.9,18.1,1715,1
PX200-0186,PX-200,83.8,6.23,3.72,117.8,16.1,1739,1
PX200-0187,PX-200,72.8,4.1,4.65,138.7,12.9,1616,0
PX200-0188,PX-200,65.9,3.7,5.41,187.5,11.9,718,0
PX200-0189,PX-200,78.9,4.03,5.08,158.8,12.9,794,0
PX200-0190,PX-200,71.5,4.61,4.55,166.4,14.6,1377,0
PX200-0191,PX-200,68.3,4.69,5.09,159.5,14.6,718,0
PX200-0192,PX-200,62.7,1.46,5.17,180.5,10.5,332,0
PX200-0193,PX-200,65.9,2.67,5.03,177.8,11,600,0
PX200-0194,PX-200,85.4,6.11,3.98,131.8,15.9,1626,1
PX200-0195,PX-200,67.6,2.34,5.38,174.8,11.5,867,0
PX200-0196,PX-200,74.1,4.06,4.81,134.6,13.9,1798,0
PX200-0197,PX-200,68.8,2.6,5.09,217.5,12.7,1356,0
PX200-0198,PX-200,60.1,2.29,5.11,198.5,10.4,1032,0
PX200-0199,PX-200,75.3,4.59,4.58,164.8,12.2,1427,0
PX200-0200,PX-200,60,2.29,5.22,189.9,8.6,50,0
PX200-0201,PX-200,63.5,2.33,5.42,173.7,11.6,457,0
PX200-0202,PX-200,69.1,2.88,4.85,173.3,11.6,187,1
PX200-0203,PX-200,58,3.58,4.88,204.9,10.4,256,0
PX200-0204,PX-200,63.7,2.62,5.05,185,10.4,368,0
PX200-0205,PX-200,71,4.55,4.53,177.8,14.6,652,0
PX200-0206,PX-200,80,3.73,5.03,167.3,12.9,1969,1
PX200-0207,PX-200,72.6,4.73,4.92,179.9,13.2,1895,0
PX200-0208,PX-200,57.1,3.33,5.75,191.8,11.1,988,0
PX200-0209,PX-200,72.6,3.9,4.67,187.2,10.4,1078,0
PX200-0210,PX-200,62.1,2.13,5.01,210.3,9.2,420,0
PX200-0211,PX-200,64.7,2.18,5.25,208.6,11,347,0
PX200-0212,PX-200,67.1,2.79,4.97,201.7,11.5,836,0
PX200-0213,PX-200,75.2,2.31,5.47,183.9,9.7,450,0
PX200-0214,PX-200,59,3.1,5,199.8,12.5,1370,0
PX200-0215,PX-200,65.5,2.95,4.69,156.1,13.9,2075,0
PX200-0216,PX-200,74.9,4.81,4.43,153.8,12.6,1096,1
PX200-0217,PX-200,83.1,5,4.23,173.4,13,549,0
PX200-0218,PX-200,70,2.9,5.06,178,12.7,1859,0
PX200-0219,PX-200,68.6,1.7,4.96,192.4,13.7,1356,0
PX200-0220,PX-200,76.4,6.93,4.13,133,15.3,1253,1
PX200-0221,PX-200,78.5,3.83,4.24,170,13.8,1103,0
PX200-0222,PX-200,58,2.57,5.16,200.9,9.8,267,0
PX200-0223,PX-200,69.4,5.65,4.74,167.5,12.6,1257,0
PX200-0224,PX-200,58.6,1.9,5.42,171.5,14.1,855,0
PX200-0225,PX-200,63,2.33,5.43,196.7,12.2,1467,0
PX200-0226,PX-200,80.1,3.31,4.54,140.4,14.6,1327,0
PX200-0227,PX-200,74.3,4.41,4.87,163.2,13,901,0
PX200-0228,PX-200,68,2.8,6.1,164.9,10.8,500,0
PX200-0229,PX-200,65.7,2.68,5.25,201.5,12,384,1
PX200-0230,PX-200,66.8,1.8,4.7,168.6,11.9,625,0
PX200-0231,PX-200,71.2,2.67,4.58,171.6,13.8,221,0
PX200-0232,PX-200,77.5,5.66,4.96,158.6,13.3,2147,1
PX200-0233,PX-200,58.5,1.72,5.09,205.8,10,78,0
PX200-0234,PX-200,66,3.13,5.35,207.3,11.4,581,0
PX200-0235,PX-200,56.3,2.62,5.8,184.2,10.7,1287,0
PX200-0236,PX-200,68.9,3.03,5.04,205.4,11.3,426,0
PX200-0237,PX-200,73,3.29,4.93,185.2,12.7,832,1
PX200-0238,PX-200,60.5,2.01,5.41,172.3,11.7,1407,0
PX200-0239,PX-200,52.8,3.26,5.41,159.6,11.2,348,0
PX200-0240,PX-200,58,2.6,5.44,214.9,9.8,758,0
PX200-0241,PX-200,79,4.41,4.28,167.3,14.5,599,0
PX200-0242,PX-200,89.5,5.39,4.75,169.3,14.9,1406,0
PX200-0243,PX-200,67.5,3.82,5.39,203.6,11.5,769,0
PX200-0244,PX-200,68.6,3.08,5.3,189.2,8.7,719,0
PX200-0245,PX-200,79,4.47,4.67,188.3,14.1,465,0
PX200-0246,PX-200,79.5,5.68,4.59,137.7,11.4,1191,0
PX200-0247,PX-200,59.7,2.3,5.2,186.9,9.8,472,0
PX200-0248,PX-200,80.3,4.63,4.67,199.7,13.1,1826,0
PX200-0249,PX-200,62.3,3.63,4.87,155.2,10.1,668,0
PX200-0250,PX-200,65.6,2.08,5.28,179.1,10.7,827,0
PX200-0251,PX-200,74.1,4.32,4.47,163.2,11.5,1496,0
PX200-0252,PX-200,87,7.58,4.31,137.8,16.9,1734,1
PX200-0253,PX-200,72.7,4.31,4.06,158.4,13.6,459,0
PX200-0254,PX-200,74.4,2.45,4.83,159.5,12.5,389,0
PX200-0255,PX-200,66.4,3.59,5.83,200.5,12.4,920,0
PX200-0256,PX-200,60,4.13,4.65,153.8,11.4,773,0
PX200-0257,PX-200,63.6,1.84,5.32,192.8,8.3,674,0
PX200-0258,PX-200,69.6,1.84,4.92,178.2,8.4,349,0
PX200-0259,PX-200,49.8,2.11,5.23,211.2,11.7,1221,0
PX200-0260,PX-200,90.2,6.97,3.91,155.2,14.2,1880,1
PX200-0261,PX-200,61.7,3.35,4.84,204.8,12.7,570,0
PX200-0262,PX-200,69.6,4.27,4.41,195.3,12.9,1233,0
PX200-0263,PX-200,64.1,2.09,5.19,191.3,11,749,0
PX200-0264,PX-200,71.2,2.41,5.78,172.7,11.2,50,0
PX200-0265,PX-200,63.2,2.84,5.69,183.6,10.4,296,0
PX200-0266,PX-200,78.9,3.86,4.84,125.4,12.7,2178,0
PX200-0267,PX-200,74.1,5.16,4.37,163.8,14.7,1162,0
PX200-0268,PX-200,77.4,1.31,4.54,188.5,11.3,368,0
PX200-0269,PX-200,70,2.55,5.49,146.7,11.4,372,0
PX200-0270,PX-200,58.3,3.02,4.79,179.5,8.1,864,0
PX200-0271,PX-200,62.7,4.95,4.96,168.1,12,1964,0
PX200-0272,PX-200,64.6,3.22,4.84,184.8,11.3,193,0
PX200-0273,PX-200,77.7,4.82,4.43,156.7,15.1,796,1
PX200-0274,PX-200,77.9,4.24,4.85,130.9,12.4,1349,0
PX200-0275,PX-200,73.8,2.55,5.12,186.2,9.5,1002,0
PX200-0276,PX-200,65.2,1.73,5.72,198.8,9.5,1071,0
PX200-0277,PX-200,68,1.14,5.2,180.3,11.6,306,0
PX200-0278,PX-200,71.7,3.5,4.95,151.6,13.3,916,0
PX200-0279,PX-200,68.1,2.69,5.56,191.3,8.9,254,0
PX200-0280,PX-200,66.5,2.56,4.88,187.3,10.1,170,0
PX200-0281,PX-200,79.2,4.79,4.59,149.2,12,1412,0
PX200-0282,PX-200,62.6,1.47,4.84,190.4,11.9,1083,0
PX200-0283,PX-200,49.5,2.44,5.61,196.4,11.5,904,0
PX200-0284,PX-200,69.4,2.15,5.56,190.4,12.1,678,0
PX200-0285,PX-200,75,2.61,5.29,202.9,11.4,380,0
PX200-0286,PX-200,90.6,5.47,4.41,132.3,15.5,2530,1
PX200-0287,PX-200,69.2,2.57,5.09,188.3,11.2,693,0
PX200-0288,PX-200,47.7,2.89,4.87,181.4,11.3,50,0
PX200-0289,PX-200,71,5.37,5.12,176.6,13.7,1293,0
PX200-0290,PX-200,71.3,4.42,4.76,187.7,14.6,1771,0
PX200-0291,PX-200,57.4,2.72,5.25,197,11,156,0
PX200-0292,PX-200,73,3.41,5.1,184.4,10.6,844,0
PX200-0293,PX-200,62.7,3.67,4.98,175,9,911,0
PX200-0294,PX-200,91.1,5.29,4.31,137.1,13.1,2003,1
PX200-0295,PX-200,73.1,1.79,5.78,178.2,11.9,1001,0
PX200-0296,PX-200,72.4,1.64,5.7,165.8,10.7,1612,0
PX200-0297,PX-200,69.1,1.77,5.34,163.9,11.1,1596,0
PX200-0298,PX-200,86.2,6.15,4.28,113.2,16,1389,0
PX200-0299,PX-200,76,6.31,4.01,125.7,15.3,2609,1
PX200-0300,PX-200,56.9,3.27,5.23,169.3,12.5,67,0
PX200-0301,PX-200,80,3.78,4.14,157.4,10.5,903,0
PX200-0302,PX-200,86.4,5.38,3.87,152.6,15.2,1910,1
PX200-0303,PX-200,65.7,2.97,4.62,145.3,12.4,1410,0
PX200-0304,PX-200,68.5,2.77,5.22,190,12.1,914,0
PX200-0305,PX-200,80.6,6.45,3.95,139.9,17.1,2177,1
PX200-0306,PX-200,67.6,4.21,4.47,168,12.2,1520,0
PX200-0307,PX-200,71,3.27,5.5,195.1,15.1,1115,0
PX200-0308,PX-200,68.6,1.97,5,166.3,10.6,1405,0
PX200-0309,PX-200,76,0.3,4.83,212.9,8.6,623,0
PX200-0310,PX-200,68.7,1.66,5.4,186.5,10.6,822,0
PX200-0311,PX-200,66.2,4.78,4.15,150,17.3,1763,0
PX200-0312,PX-200,81.7,5.25,4.52,133,16.7,1758,1
PX200-0313,PX-200,76.4,3.31,4.32,166.4,12.9,1102,0
PX200-0314,PX-200,61.9,2.36,5.37,210.1,11.2,441,0
PX200-0315,PX-200,68.6,1.92,5.35,222.9,10.8,697,0
PX200-0316,PX-200,54.3,1.29,5.09,219.5,12.8,279,0
PX200-0317,PX-200,65.9,3.79,5.49,210.4,10.5,909,0
PX200-0318,PX-200,65.7,4.18,4.73,162.6,14.4,335,0
PX200-0319,PX-200,61.8,2.25,5.24,192.7,10.3,1373,0
PX200-0320,PX-200,67.8,4.29,4.53,153.9,15,1745,1
PX200-0321,PX-200,82.3,3.45,5.56,187,14.4,1172,0
PX200-0322,PX-200,54.2,2.99,5.62,179.8,9.7,520,0
PX200-0323,PX-200,61.3,1.64,5,183,12.7,335,0
PX200-0324,PX-200,76.1,3.85,4.54,142.7,12.2,1542,0
PX200-0325,PX-200,78.8,3.75,5.49,176.5,11.7,511,0
PX200-0326,PX-200,58.9,2.77,5.22,177.9,10.1,970,0
PX200-0327,PX-200,65.6,1.21,5.37,193.9,12.8,1098,0
PX200-0328,PX-200,94.5,5.1,4.06,114.9,18.2,2620,1
PX200-0329,PX-200,58,2.01,4.89,184.2,11.8,841,0
PX200-0330,PX-200,74.4,3.57,4.77,141.4,13.5,1615,0
PX200-0331,PX-200,85.9,6.55,4.21,153.6,13.6,1487,1
PX200-0332,PX-200,65.1,4.62,4.8,144.5,13.8,1614,1
PX200-0333,PX-200,80.7,5.84,4.9,138.8,12.2,2049,0
PX200-0334,PX-200,74.2,0.41,5.41,137.8,10,50,0
PX200-0335,PX-200,64.1,2.79,5.29,170.4,12.7,325,0
PX200-0336,PX-200,64.6,2.81,5.71,191.4,13,744,0
PX200-0337,PX-200,58,3.13,5.85,180.2,9.9,278,0
PX200-0338,PX-200,61.4,3.15,5.26,200.1,9.5,580,0
PX200-0339,PX-200,66.3,2.43,5.29,182.7,10.7,1683,0
PX200-0340,PX-200,56.3,1.71,5.36,195.3,10.5,115,0
PX200-0341,PX-200,60.7,3.35,4.85,161,10.7,1499,0
PX200-0342,PX-200,63.9,1.87,5.32,157,13.3,768,0
PX200-0343,PX-200,78.2,3.46,5.03,211.1,12.4,1381,0
PX200-0344,PX-200,59.3,2.32,5.91,211,11.2,614,0
PX200-0345,PX-200,69.6,6.03,4.48,175.4,11.5,996,0
PX200-0346,PX-200,70,2.6,5.41,195.2,8.3,833,0
PX200-0347,PX-200,86.8,6.8,4.59,132.8,12.6,1956,1
PX200-0348,PX-200,64.9,4.52,5.53,181,9.5,559,0
PX200-0349,PX-200,78.1,3.12,5.89,195.6,11.5,325,0
PX200-0350,PX-200,61.2,2.51,4.96,194.9,9,887,0
PX200-0351,PX-200,77.2,4.5,4.85,157.4,13.5,847,0
PX200-0352,PX-200,70.7,1.95,4.85,214,12.2,1656,0
PX200-0353,PX-200,67.6,2.61,5.61,201.9,11,842,0
PX200-0354,PX-200,61.5,3.38,5.45,198.8,11.6,1220,0
PX200-0355,PX-200,81.8,5.07,4.79,167.8,17.5,442,1
PX200-0356,PX-200,59,0.9,5.65,174.6,10.6,1080,0
PX200-0357,PX-200,76.9,4.38,4.51,153.9,13.2,1771,1
PX200-0358,PX-200,84.7,7.65,4.08,113.1,14.6,1375,0
PX200-0359,PX-200,63.1,2.7,4.33,219.3,10.3,350,0
PX200-0360,PX-200,77.3,2.06,5.66,180.7,8.7,237,0
PX200-0361,PX-200,84.2,4.82,4.29,133.1,11.5,2088,0
PX200-0362,PX-200,64.2,2.14,5.21,168.6,12.5,982,0
PX200-0363,PX-200,68.8,2.54,5.63,194.6,11.8,1366,0
PX200-0364,PX-200,79.2,5.77,5.08,161.6,12.5,1121,0
PX200-0365,PX-200,74,2.46,5.13,160.3,11.1,579,0
PX200-0366,PX-200,65.7,2.46,5.4,194.3,10,781,0
PX200-0367,PX-200,62.5,3.67,5.19,182.5,11,1033,0
PX200-0368,PX-200,62.3,3.27,5.34,227.4,13.5,1182,0
PX200-0369,PX-200,82,4.28,4.74,191.5,13.6,1634,0
PX200-0370,PX-200,62.4,2.52,4.69,189.9,11.9,588,0
PX200-0371,PX-200,61.2,2.21,5.24,198.2,7.3,1557,0
PX200-0372,PX-200,63.7,1.6,5.21,159,11.7,1120,0
PX200-0373,PX-200,58.6,1.82,5.33,212.4,9.2,50,0
PX200-0374,PX-200,59.2,2.49,5.11,185.5,13.1,526,0
PX200-0375,PX-200,67.5,4.49,5.56,172.5,10.9,1019,0
PX200-0376,PX-200,88.2,6.11,4.16,166.1,15.6,1849,1
PX200-0377,PX-200,63.1,2.22,5.37,197.3,9.9,532,0
PX200-0378,PX-200,83.7,6.68,4.77,135.1,11.4,2057,0
PX200-0379,PX-200,72.9,5.35,5.35,161.4,11.1,1997,0
PX200-0380,PX-200,95.1,5.78,4.39,144.4,14.2,2526,1
PX200-0381,PX-200,58.9,1.86,4.7,210.3,12.3,1366,0
PX200-0382,PX-200,81.8,5.61,5.28,175.6,13.1,1400,0
PX200-0383,PX-200,81.2,4.27,4.96,160.5,13,1513,0
PX200-0384,PX-200,76.2,4.46,4.99,174.8,11.7,1364,0
PX200-0385,PX-200,87.1,4.82,4.15,152.6,16.2,1212,1
PX200-0386,PX-200,71.7,3.86,4.38,197.3,14.3,2331,0
